Date,Heure,kWh,AvgTemp,Season,Screens Plug
2019-05-23,03,1.27,9,Spring,No
2019-05-23,04,1.18,9,Spring,No
2019-05-23,05,0.4,10,Spring,No
2019-05-23,06,0.89,11,Spring,No
2019-05-23,07,0.58,14,Spring,No
2019-05-23,08,0.58,14,Spring,No
2019-05-23,09,1.12,15,Spring,No
2019-05-23,10,1.57,15,Spring,No
2019-05-23,11,6.41,14,Spring,No
2019-05-23,12,4.15,13,Spring,No
2019-05-23,13,3.79,12,Spring,No
2019-05-23,14,2.32,12,Spring,No
2019-05-23,15,2.89,12,Spring,No
2019-05-23,16,2.31,12,Spring,No
2019-05-23,17,3.73,11,Spring,No
2019-05-23,18,3.01,11,Spring,No
2019-05-23,19,1.25,11,Spring,No
2019-05-23,20,3.31,11,Spring,No
2019-05-23,21,1.71,10,Spring,No
2019-05-23,22,1.63,10,Spring,No
2019-05-23,23,1.34,10,Spring,No
2019-05-24,00,1.08,11,Spring,No
2019-05-24,01,0.4,11,Spring,No
2019-05-24,02,0.31,11,Spring,No
2019-05-24,03,0.66,11,Spring,No
2019-05-24,04,0.33,11,Spring,No
2019-05-24,05,0.37,11,Spring,No
2019-05-24,06,0.56,12,Spring,No
2019-05-24,07,1,12,Spring,No
2019-05-24,08,0.6,12,Spring,No
2019-05-24,09,1.7,14,Spring,No
2019-05-24,10,1.77,15,Spring,No
2019-05-24,11,1.91,16,Spring,No
2019-05-24,12,1.94,16,Spring,No
2019-05-24,13,1.02,17,Spring,No
2019-05-24,14,0.47,17,Spring,No
2019-05-24,15,0.22,16,Spring,No
2019-05-24,16,1.62,16,Spring,No
2019-05-24,17,0.24,17,Spring,No
2019-05-24,18,0.55,14,Spring,No
2019-05-24,19,0.2,12,Spring,No
2019-05-24,20,0.19,11,Spring,No
2019-05-24,21,0.53,10,Spring,No
2019-05-24,22,0.17,9,Spring,No
2019-05-24,23,0.21,9,Spring,No
2019-05-25,00,0.2,9,Spring,No
2019-05-25,01,0.47,6,Spring,No
2019-05-25,02,0.22,7,Spring,No
